Card ID,Card Name,Expansion,Collection No.,Stage (Pokémon)/Type (Energy and Trainer),Rule,Category,Previous stage,HP,Type,Weakness,Resistance (Type),Retreat,Move Name,Cost,Damage,Effect Explanation
22,Hippopotas,DRI,105,Basic Pokémon,n/a,n/a,n/a,90,{F},{G},n/a,3,Push Down,{F},10,Switch out your opponent’s Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)
23,Hippowdon,DRI,106,Stage 1 Pokémon,n/a,n/a,Hippopotas,160,{F},{G},n/a,4,Ram,{F}{F},60,n/a
23,Hippowdon,DRI,106,Stage 1 Pokémon,n/a,n/a,Hippopotas,160,{F},{G},n/a,4,Super Sandstorm,{F}{F}●,150,This attack also does 40 damage to each Benched Pokémon that has any damage counters on it (both yours and your opponent’s). (Don’t apply Weakness and Resistance for Benched Pokémon.)
24,Team Rocket's Kangaskhan ex,ASC,162,Basic Pokémon,Pokémon ex,Trainer's Pokémon（Team Rocket）,n/a,230,{C},{F},n/a,2,"
Comet Punch",●●,30×,Flip 4 coins. This attack does 30 damage for each heads.
24,Team Rocket's Kangaskhan ex,ASC,162,Basic Pokémon,Pokémon ex,Trainer's Pokémon（Team Rocket）,n/a,230,{C},{F},n/a,2,Wicked Impact,●●●,120,"If you played a Supporter card that has “Team Rocket” in its name from your hand during this turn, this attack does 100 more damage."
25,Pinsir,TWM,3,Basic Pokémon,n/a,n/a,n/a,110,{G},{R},n/a,2,Slow Crunch,{G}●,n/a,"Discard all Energy from this Pokémon. At the end of your opponent’s next turn, the Defending Pokémon will be Knocked Out."
25,Pinsir,TWM,3,Basic Pokémon,n/a,n/a,n/a,110,{G},{R},n/a,2,Superpowered Horns,{G}●●,100,n/a
26,Leafeon,TWM,11,Stage 1 Pokémon,n/a,n/a,Eevee,120,{G},{R},n/a,1,Leaflet Blessings,●,n/a,"Attach a Basic {G} Energy card from your hand to 1 of your Benched Pokémon. If you do, heal all damage from that Pokémon."
26,Leafeon,TWM,11,Stage 1 Pokémon,n/a,n/a,Eevee,120,{G},{R},n/a,1,Solar Beam,{G}●,70,n/a
27,Iron Leaves,TWM,19,Basic Pokémon,n/a,Future,n/a,120,{G},{R},n/a,1,Recovery Net,{G},n/a,Put up to 2 Pokémon from your discard pile into your hand.
27,Iron Leaves,TWM,19,Basic Pokémon,n/a,Future,n/a,120,{G},{R},n/a,1,Avenging Edge,{G}●●,100,"If any of your Pokémon were Knocked Out by damage from an attack during your opponent’s last turn, this attack does 60 more damage."
28,Poltchageist,TWM,20,Basic Pokémon,n/a,n/a,n/a,30,{G},{R},n/a,1,[Ability] Storehouse Hideaway,n/a,n/a,"As long as this Pokémon is on your Bench, prevent all damage from and effects of attacks from your opponent’s Pokémon done to this Pokémon."
28,Poltchageist,TWM,20,Basic Pokémon,n/a,n/a,n/a,30,{G},{R},n/a,1,Hook,{G},10,n/a
29,Sinistcha ex,TWM,23,Stage 1 Pokémon,Pokémon ex,n/a,Poltchageist,240,{G},{R},n/a,1,Re-Brew,●,n/a,"Put 2 damage counters on 1 of your opponent’s Pokémon for each Basic {G} Energy card in your discard pile. Then, shuffle those Energy cards into your deck."
29,Sinistcha ex,TWM,23,Stage 1 Pokémon,Pokémon ex,n/a,Poltchageist,240,{G},{R},n/a,1,Matcha Splash,{G}●,120,Heal 30 damage from each of your Pokémon.
30,Magcargo ex,TWM,29,Stage 1 Pokémon,Pokémon ex,Tera(Fire),Slugma,270,{R},{W},n/a,3,[Tera],n/a,n/a,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
30,Magcargo ex,TWM,29,Stage 1 Pokémon,Pokémon ex,Tera(Fire),Slugma,270,{R},{W},n/a,3,Hot Magma,{R}●,70,Your opponent’s Active Pokémon is now Burned.
30,Magcargo ex,TWM,29,Stage 1 Pokémon,Pokémon ex,Tera(Fire),Slugma,270,{R},{W},n/a,3,Ground Burn,{R}{R}●,140,Discard the top card of each player’s deck. This attack does 140 more damage for each Energy card discarded in this way.
31,Chi-Yu,TWM,39,Basic Pokémon,n/a,n/a,n/a,110,{R},{W},n/a,1,Allure,●,n/a,Draw 2 cards.
31,Chi-Yu,TWM,39,Basic Pokémon,n/a,n/a,n/a,110,{R},{W},n/a,1,Ground Melter,{R}●,60,"If a Stadium is in play, this attack does 60 more damage. Then, discard that Stadium."
32,Glaceon,TWM,54,Stage 1 Pokémon,n/a,n/a,Eevee,120,{W},{M},n/a,1,Permeating Chill,{W},30,"At the end of your opponent’s next turn, put 9 damage counters on the Defending Pokémon."
32,Glaceon,TWM,54,Stage 1 Pokémon,n/a,n/a,Eevee,120,{W},{M},n/a,1,Icicle Missile,{W}●,70,n/a
33,Froakie,TWM,56,Basic Pokémon,n/a,n/a,n/a,60,{W},{L},n/a,1,Flock,{W},n/a,"Search your deck for up to 2 Froakie and put them onto your Bench. Then, shuffle your deck."
33,Froakie,TWM,56,Basic Pokémon,n/a,n/a,n/a,60,{W},{L},n/a,1,Flop,{W},10,n/a
34,Frogadier,TWM,57,Stage 1 Pokémon,n/a,n/a,Froakie,90,{W},{L},n/a,1,Numbing Water,{W},20,"Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed."
35,Walking Wake,TWM,63,Basic Pokémon,n/a,Ancient,n/a,130,{W},{L},n/a,1,Aurora Gain,{W},20,Heal 20 damage from this Pokémon.
35,Walking Wake,TWM,63,Basic Pokémon,n/a,Ancient,n/a,130,{W},{L},n/a,1,Undulating Slice,{W}{W}●,20×,Put up to 9 damage counters on this Pokémon. This attack does 20 damage for each damage counter you placed in this way.
36,Morpeko,TWM,72,Basic Pokémon,n/a,n/a,n/a,70,{L},{F},n/a,1,[Ability] Snack Seek,n/a,n/a,"Once during your turn, you may look at the top card of your deck. You may discard that card."
36,Morpeko,TWM,72,Basic Pokémon,n/a,n/a,n/a,70,{L},{F},n/a,1,Pick and Stick,{L},n/a,Attach up to 2 Basic Energy cards from your discard pile to your Pokémon in any way you like.
37,Iron Thorns ex,TWM,77,Basic Pokémon,Pokémon ex,Future,n/a,230,{L},{F},n/a,4,[Ability] Initialization,n/a,n/a,"As long as this Pokémon is in the Active Spot, Pokémon with a Rule Box in play (both yours and your opponent’s) have no Abilities, except for Future Pokémon. (Pokémon {ex}, Pokémon {V}, etc. have Rule Boxes.)"
37,Iron Thorns ex,TWM,77,Basic Pokémon,Pokémon ex,Future,n/a,230,{L},{F},n/a,4,Volt Cyclone,{L}●●,140,Move an Energy from this Pokémon to 1 of your Benched Pokémon.
38,Girafarig,TWM,83,Basic Pokémon,n/a,n/a,n/a,100,{P},{D},{F},1,Dual Headbutt,●,30,This attack also does 10 damage to 1 of your Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
39,Enamorus,TWM,93,Basic Pokémon,n/a,n/a,n/a,120,{P},{M},n/a,1,Heart Sign,●,30,n/a
39,Enamorus,TWM,93,Basic Pokémon,n/a,n/a,n/a,120,{P},{M},n/a,1,Love Resonance,{P}●●,80,"If any of your Pokémon in play are the same type as any of your opponent’s Pokémon in play, this attack does 120 more damage."
40,Greninja ex,TWM,106,Stage 2 Pokémon,Pokémon ex,Tera(Fighting),Frogadier,310,{F},{P},n/a,1,[Tera],n/a,n/a,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
40,Greninja ex,TWM,106,Stage 2 Pokémon,Pokémon ex,Tera(Fighting),Frogadier,310,{F},{P},n/a,1,Shinobi Blade,{W},170,"You may search your deck for a card and put it into your hand. Then, shuffle your deck."
40,Greninja ex,TWM,106,Stage 2 Pokémon,Pokémon ex,Tera(Fighting),Frogadier,310,{F},{P},n/a,1,Mirage Barrage,{W}●●,n/a,Discard 2 Energy from this Pokémon. This attack does 120 damage to 2 of your opponent’s Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
41,Ting-Lu,TWM,110,Basic Pokémon,n/a,n/a,n/a,140,{F},{G},n/a,3,Ground Crasher,{F},30,"If a Stadium is in play, this attack also does 30 damage to each of your opponent’s Benched Pokémon, and discard that Stadium. (Don’t apply Weakness and Resistance for Benched Pokémon.)"
41,Ting-Lu,TWM,110,Basic Pokémon,n/a,n/a,n/a,140,{F},{G},n/a,3,Hammer In,{F}{F}●,110,n/a
42,Applin,TWM,126,Basic Pokémon,n/a,n/a,n/a,40,竜,n/a,n/a,1,Find a Friend,●,n/a,"Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."
42,Applin,TWM,126,Basic Pokémon,n/a,n/a,n/a,40,竜,n/a,n/a,1,Rolling Tackle,{G}{R},30,n/a
43,Eevee,TWM,135,Basic Pokémon,n/a,n/a,n/a,50,{C},{F},n/a,1,Ascension,●,n/a,"Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck."
43,Eevee,TWM,135,Basic Pokémon,n/a,n/a,n/a,50,{C},{F},n/a,1,Quick Attack,●●●,20,"Flip a coin. If heads, this attack does 20 more damage."
44,Bloodmoon Ursaluna ex,TWM,141,Basic Pokémon,Pokémon ex,n/a,n/a,260,{C},{F},n/a,3,[Ability] Seasoned Skill,n/a,n/a,Blood Moon used by this Pokémon costs {C} less for each Prize card your opponent has taken.
44,Bloodmoon Ursaluna ex,TWM,141,Basic Pokémon,Pokémon ex,n/a,n/a,260,{C},{F},n/a,3,Blood Moon,●●●●●,240,"During your next turn, this Pokémon can’t use attacks."
45,Shaymin,TEF,13,Basic Pokémon,n/a,n/a,n/a,70,{G},{R},n/a,n/a,Pinpoint Dive,{G},n/a,This attack does 60 damage to 1 of your opponent’s Benched Pokémon {ex} or Benched Pokémon {V}. (Don’t apply Weakness and Resistance for Benched Pokémon.)
45,Shaymin,TEF,13,Basic Pokémon,n/a,n/a,n/a,70,{G},{R},n/a,n/a,Rear Kick,●●,50,n/a
46,Gouging Fire ex,TEF,38,Basic Pokémon,Pokémon ex,Ancient,n/a,230,{R},{W},n/a,2,Heat Blast,{R}●,60,n/a
46,Gouging Fire ex,TEF,38,Basic Pokémon,Pokémon ex,Ancient,n/a,230,{R},{W},n/a,2,Blaze Blitz,{R}{R}●,260,This Pokémon can’t use Blaze Blitz again until it leaves the Active Spot.
47,Totodile,TEF,39,Basic Pokémon,n/a,n/a,n/a,70,{W},{L},n/a,1,Big Bite,{W},10,"During your opponent’s next turn, the Defending Pokémon can’t retreat."
48,Croconaw,TEF,40,Stage 1 Pokémon,n/a,n/a,Totodile,90,{W},{L},n/a,2,Reverse Thrust,{W},30,Switch this Pokémon with 1 of your Benched Pokémon.
49,Feraligatr,TEF,41,Stage 2 Pokémon,n/a,n/a,Croconaw,180,{W},{L},n/a,3,[Ability] Torrential Heart,n/a,n/a,"Once during your turn, you may put 5 damage counters on this Pokémon. If you do, during this turn, attacks used by this Pokémon do 120 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance)."
49,Feraligatr,TEF,41,Stage 2 Pokémon,n/a,n/a,Croconaw,180,{W},{L},n/a,3,Giant Wave,{W}{W},160,"During your next turn, this Pokémon can’t use Giant Wave."
50,Wiglett,TEF,47,Basic Pokémon,n/a,n/a,n/a,60,{W},{L},n/a,1,Lucky Find,{W},n/a,"Search your deck for an Item card, reveal it, and put it into your hand. Then, shuffle your deck."
50,Wiglett,TEF,47,Basic Pokémon,n/a,n/a,n/a,60,{W},{L},n/a,1,Aqua Bomb,{W}{W},40,This Pokémon also does 20 damage to itself.
51,Palafin,TEF,49,Stage 1 Pokémon,n/a,n/a,Finizen,150,{W},{L},n/a,2,Vanguard Punch,{W},130,This Pokémon also does 10 damage to itself for each damage counter on it.
51,Palafin,TEF,49,Stage 1 Pokémon,n/a,n/a,Finizen,150,{W},{L},n/a,2,Double Hit,{W}●●,90×,Flip 2 coins. This attack does 90 damage for each heads.
52,Wugtrio ex,TEF,60,Stage 1 Pokémon,Pokémon ex,Tera(Lightning),Wiglett,250,{L},{F},n/a,1,[Tera],n/a,n/a,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
52,Wugtrio ex,TEF,60,Stage 1 Pokémon,Pokémon ex,Tera(Lightning),Wiglett,250,{L},{F},n/a,1,Tricolor Pump,{W},n/a,Discard up to 3 Energy cards from your hand. This attack does 60 damage to 1 of your opponent’s Pokémon for each Energy card you discarded in this way. (Don’t apply Weakness and Resistance for Benched Pokémon.)
52,Wugtrio ex,TEF,60,Stage 1 Pokémon,Pokémon ex,Tera(Lightning),Wiglett,250,{L},{F},n/a,1,Numbing Hold,{W}{W},120,"During your opponent’s next turn, the Defending Pokémon can’t retreat."
53,Marill,TEF,64,Basic Pokémon,n/a,n/a,n/a,70,{P},{M},n/a,2,Ball Roll,●,10×,Flip a coin until you get tails. This attack does 10 damage for each heads.
53,Marill,TEF,64,Basic Pokémon,n/a,n/a,n/a,70,{P},{M},n/a,2,Magical Shot,{P}●●,40,n/a
54,Bronzor,TEF,68,Basic Pokémon,n/a,n/a,n/a,80,{P},{D},{F},3,Mirror Attack,{P},10,"If your opponent’s Active Pokémon is a {P} Pokémon, this attack does 30 more damage."
55,Bronzong,TEF,69,Stage 1 Pokémon,n/a,n/a,Bronzor,110,{P},{D},{F},3,Evolution Jammer,{P},30,"During your opponent’s next turn, they can’t play any Pokémon from their hand to evolve their Pokémon."
55,Bronzong,TEF,69,Stage 1 Pokémon,n/a,n/a,Bronzor,110,{P},{D},{F},3,Super Psy Bolt,{P}●●,100,n/a
56,Flutter Mane,TEF,78,Basic Pokémon,n/a,Ancient,n/a,90,{P},{M},n/a,1,[Ability] Midnight Fluttering,n/a,n/a,"As long as this Pokémon is in the Active Spot, your opponent’s Active Pokémon has no Abilities, except for Midnight Fluttering."
56,Flutter Mane,TEF,78,Basic Pokémon,n/a,Ancient,n/a,90,{P},{M},n/a,1,Hex Hurl,●●●,90,Put 2 damage counters on your opponent’s Benched Pokémon in any way you like.
57,Relicanth,TEF,84,Basic Pokémon,n/a,n/a,n/a,100,{F},{G},n/a,1,[Ability] Memory Dive,n/a,n/a,Each of your evolved Pokémon can use any attack from its previous Evolutions. (You still need the necessary Energy to use each attack.)
57,Relicanth,TEF,84,Basic Pokémon,n/a,n/a,n/a,100,{F},{G},n/a,1,Razor Fin,{F}●,30,n/a
58,Great Tusk,TEF,97,Basic Pokémon,n/a,Ancient,n/a,140,{F},{P},n/a,3,Land Collapse,●●,n/a,"Discard the top card of your opponent’s deck. If you played an Ancient Supporter card from your hand during this turn, discard 3 more cards in this way."
58,Great Tusk,TEF,97,Basic Pokémon,n/a,Ancient,n/a,140,{F},{P},n/a,3,Giant Tusk,{F}{F}●●,160,n/a
59,Gastly,TEF,102,Basic Pokémon,n/a,n/a,n/a,60,{D},{F},n/a,1,Mysterious Beam,{D},n/a,"Flip a coin. If heads, discard an Energy from your opponent’s Active Pokémon."
59,Gastly,TEF,102,Basic Pokémon,n/a,n/a,n/a,60,{D},{F},n/a,1,Suffocating Gas,{D}{D},30,n/a
60,Haunter,TEF,103,Stage 1 Pokémon,n/a,n/a,Gastly,90,{D},{F},n/a,1,Super Poison Breath,{D}{D},30,Your opponent’s Active Pokémon is now Poisoned.
61,Roaring Moon,TEF,109,Basic Pokémon,n/a,Ancient,n/a,140,{D},{G},n/a,2,Vengeance Fletching,{D}{D},70,This attack does 10 more damage for each Ancient card in your discard pile.
61,Roaring Moon,TEF,109,Basic Pokémon,n/a,Ancient,n/a,140,{D},{G},n/a,2,Speed Wing,{D}●●●,120,n/a
62,Koraidon,TEF,119,Basic Pokémon,n/a,Ancient,n/a,140,竜,n/a,n/a,2,Primordial Beatdown,{F}●,30×,This attack does 30 damage for each of your Ancient Pokémon in play.
62,Koraidon,TEF,119,Basic Pokémon,n/a,Ancient,n/a,140,竜,n/a,n/a,2,Shred,{R}{F}●,130,This attack’s damage isn’t affected by any effects on your opponent’s Active Pokémon.
63,Raging Bolt ex,TEF,123,Basic Pokémon,Pokémon ex,Ancient,n/a,240,竜,n/a,n/a,3,Burst Roar,●,n/a,Discard your hand and draw 6 cards.
63,Raging Bolt ex,TEF,123,Basic Pokémon,Pokémon ex,Ancient,n/a,240,竜,n/a,n/a,3,Bellowing Thunder,{L}{F},70×,You may discard any amount of Basic Energy from your Pokémon. This attack does 70 damage for each card you discarded in this way.
64,Hoothoot,TEF,126,Basic Pokémon,n/a,n/a,n/a,70,{C},{L},{F},1,Silent Wing,●●,20,Your opponent reveals their hand.
65,Dunsparce,TEF,128,Basic Pokémon,n/a,n/a,n/a,60,{C},{F},n/a,n/a,Gnaw,●,10,n/a
65,Dunsparce,TEF,128,Basic Pokémon,n/a,n/a,n/a,60,{C},{F},n/a,n/a,Dig,●●,30,"Flip a coin. If heads, during your opponent’s next turn, prevent all damage from and effects of attacks done to this Pokémon."
66,Dudunsparce,TEF,129,Stage 1 Pokémon,n/a,n/a,Dunsparce,140,{C},{F},n/a,3,[Ability] Run Away Draw,n/a,n/a,"Once during your turn, you may draw 3 cards. If you drew any cards in this way, shuffle this Pokémon and all attached cards into your deck."
66,Dudunsparce,TEF,129,Stage 1 Pokémon,n/a,n/a,Dunsparce,140,{C},{F},n/a,3,Land Crush,●●●,90,n/a
67,Pineco,TEF,2,Basic Pokémon,n/a,n/a,n/a,70,{G},{R},n/a,2,Ram,●●●,50,n/a
68,Seedot,TEF,3,Basic Pokémon,n/a,n/a,n/a,60,{G},{R},n/a,1,Rigidify,{G},n/a,"During your opponent’s next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance)."
68,Seedot,TEF,3,Basic Pokémon,n/a,n/a,n/a,60,{G},{R},n/a,1,Hang Down,●●,20,n/a
69,Nuzleaf,TEF,4,Stage 1 Pokémon,n/a,n/a,Seedot,90,{G},{R},n/a,1,Corkscrew Punch,{G},20,n/a
69,Nuzleaf,TEF,4,Stage 1 Pokémon,n/a,n/a,Seedot,90,{G},{R},n/a,1,Comet Slap,●●,30×,Flip 3 coins. This attack does 30 damage for each heads.
70,Shiftry,TEF,5,Stage 2 Pokémon,n/a,n/a,Nuzleaf,150,{G},{R},n/a,2,Expelling Tornado,{G},n/a,"Choose 3 of your opponent’s Benched Pokémon. If you do, shuffle all of your opponent’s Benched Pokémon that you didn’t choose, and all cards attached to those Pokémon, into their deck."
70,Shiftry,TEF,5,Stage 2 Pokémon,n/a,n/a,Nuzleaf,150,{G},{R},n/a,2,Energy Loop,●●,140,Put an Energy attached to this Pokémon into your hand.
71,Deerling,TEF,16,Basic Pokémon,n/a,n/a,n/a,70,{G},{R},n/a,1,Flop,●,10,n/a
71,Deerling,TEF,16,Basic Pokémon,n/a,n/a,n/a,70,{G},{R},n/a,1,Leaf Litter Tackle,{G}●●,40,Discard a {G} Energy from this Pokémon.
72,Sawsbuck,TEF,17,Stage 1 Pokémon,n/a,n/a,Deerling,130,{G},{R},n/a,2,[Ability] Changing Seasons,n/a,n/a,"Once during your turn, you may search your deck for a Stadium card, reveal it, and put it into your hand. Then, shuffle your deck."
72,Sawsbuck,TEF,17,Stage 1 Pokémon,n/a,n/a,Deerling,130,{G},{R},n/a,2,Superpowered Horns,{G}●●,110,n/a
73,Rellor,TEF,23,Basic Pokémon,n/a,n/a,n/a,50,{G},{R},n/a,1,Slight Intrusion,●,30,This Pokémon also does 10 damage to itself.
74,Rabsca,TEF,24,Stage 1 Pokémon,n/a,n/a,Rellor,70,{G},{R},n/a,1,[Ability] Spherical Shield,n/a,n/a,Prevent all damage from and effects of attacks from your opponent’s Pokémon done to your Benched Pokémon.
74,Rabsca,TEF,24,Stage 1 Pokémon,n/a,n/a,Rellor,70,{G},{R},n/a,1,Psychic,{G},10,This attack does 30 more damage for each Energy attached to your opponent’s Active Pokémon.
75,Iron Leaves ex,TEF,25,Basic Pokémon,Pokémon ex,Future,n/a,220,{G},{R},n/a,1,[Ability] Rapid Vernier,n/a,n/a,"When you play this Pokémon from your hand onto your Bench during your turn, you may switch it with your Active Pokémon. If you do, you may move any amount of Energy from your other Pokémon to this Pokémon."
75,Iron Leaves ex,TEF,25,Basic Pokémon,Pokémon ex,Future,n/a,220,{G},{R},n/a,1,Prism Edge,{G}{G}●,180,"During your next turn, this Pokémon can’t use attacks."
76,Slugma,TEF,28,Basic Pokémon,n/a,n/a,n/a,80,{R},{W},n/a,2,Roasting Heat,{R},10,"If your opponent’s Active Pokémon is Burned, this attack does 40 more damage."
77,Litten,TEF,32,Basic Pokémon,n/a,n/a,n/a,70,{R},{W},n/a,2,Fake Out,{R},10,"Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed."
78,Torracat,TEF,33,Stage 1 Pokémon,n/a,n/a,Litten,100,{R},{W},n/a,2,Bite,{R},30,n/a
78,Torracat,TEF,33,Stage 1 Pokémon,n/a,n/a,Litten,100,{R},{W},n/a,2,Flare Strike,{R}●●,80,"During your next turn, this Pokémon can’t use Flare Strike."
79,Incineroar ex,TEF,34,Stage 2 Pokémon,Pokémon ex,n/a,Torracat,320,{R},{W},n/a,2,[Ability] Hustle Play,n/a,n/a,Attacks used by this Pokémon cost {C} less for each of your opponent’s Benched Pokémon.
79,Incineroar ex,TEF,34,Stage 2 Pokémon,Pokémon ex,n/a,Torracat,320,{R},{W},n/a,2,Blaze Blast,{R}●●●●,240,Your opponent’s Active Pokémon is now Burned.
80,Iron Crown ex,TEF,81,Basic Pokémon,Pokémon ex,Future,n/a,220,{P},{D},{F},2,[Ability] Cobalt Command,n/a,n/a,"Attacks used by your Future Pokémon, except any Iron Crown {ex}, do 20 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance)."
80,Iron Crown ex,TEF,81,Basic Pokémon,Pokémon ex,Future,n/a,220,{P},{D},{F},2,Twin Shotels,{P}●●,n/a,"This attack does 50 damage to 2 of your opponent’s Pokémon. This attack’s damage isn’t affected by Weakness or Resistance, or by any effects on those Pokémon."
81,Drilbur,TEF,85,Basic Pokémon,n/a,n/a,n/a,70,{F},{G},n/a,1,[Ability] Dig Dig Dig,n/a,n/a,"When you play this Pokémon from your hand onto your Bench during your turn, you may search your deck for up to 3 Basic {F} Energy cards and discard them. Then, shuffle your deck."
81,Drilbur,TEF,85,Basic Pokémon,n/a,n/a,n/a,70,{F},{G},n/a,1,Sand Spray,{F}●,20,n/a
82,Excadrill,TEF,86,Stage 1 Pokémon,n/a,n/a,Drilbur,130,{F},{G},n/a,2,Mud Shot,●,20,n/a
82,Excadrill,TEF,86,Stage 1 Pokémon,n/a,n/a,Drilbur,130,{F},{G},n/a,2,Wild Tackle,{F}{F}●,180,This Pokémon also does 50 damage to itself.
