カード ID,カード名,エキスパンションマーク,コレクション番号,ポケモンの進化の段階/エネルギー・トレーナーズの種類,ルール,カテゴリ,進化前,HP,タイプ,弱点,抵抗力,にげる,ワザ名,コスト,ダメージ,効果の説明
19,テレパス【超】エネルギー,M3,079/080,特殊エネルギー,n/a,n/a,n/a,n/a,超,,,n/a,n/a,n/a,n/a,"このカードは、ポケモンについているかぎり、【超】エネルギー1個ぶんとしてはたらく。

このカードを手札から【超】ポケモンにつけたとき、自分の山札から【超】タイプの【たね】ポケモンを2枚まで選び、ベンチに出す。そして山札を切る。"
20,ロック【闘】エネルギー,M3,080/080,特殊エネルギー,n/a,n/a,n/a,n/a,闘,,,n/a,n/a,n/a,n/a,"このカードは、ポケモンについているかぎり、【闘】エネルギー1個ぶんとしてはたらく。

このカードをつけている【闘】ポケモンは、相手のポケモンが使うワザの効果を受けない。（すでに受けている効果は、なくならない。）"
21,ズルズキン,PROMO,158/SV-P,ポケモン/1進化,n/a,n/a,ズルッグ,120,悪,草,n/a,1,かっぱらう,●,n/a,自分のベンチポケモンの数ぶんまで、自分の山札から好きなカードを選び、手札に加える。そして山札を切る。
21,ズルズキン,PROMO,158/SV-P,ポケモン/1進化,n/a,n/a,ズルッグ,120,悪,草,n/a,1,とびひざげり,悪●●,100,n/a
22,ヒポポタス,PROMO,186/SV-P,ポケモン/たね,n/a,n/a,n/a,90,闘,草,n/a,3,つきとばす,闘,10,相手のバトルポケモンをベンチポケモンと入れ替える。［バトル場に出すポケモンは相手が選ぶ。］
23,カバルドン,PROMO,187/SV-P,ポケモン/1進化,n/a,n/a,ヒポポタス,160,闘,草,n/a,4,ぶつかる,闘闘,60,n/a
23,カバルドン,PROMO,187/SV-P,ポケモン/1進化,n/a,n/a,ヒポポタス,160,闘,草,n/a,4,おおすなあらし,闘闘●,150,ダメカンがのっているおたがいのベンチポケモン全員にも、それぞれ40ダメージ。［ベンチは弱点・抵抗力を計算しない。］
24,ロケット団のガルーラex,PROMO,265/SV-P,ポケモン/たね,ex,トレーナーのポケモン（ロケット団・サカキ）,n/a,230,無,闘,n/a,2,れんぞくパンチ,●●,30×,コインを4回投げ、オモテの数×30ダメージ。
24,ロケット団のガルーラex,PROMO,265/SV-P,ポケモン/たね,ex,トレーナーのポケモン（ロケット団・サカキ）,n/a,230,無,闘,n/a,2,バッドインパクト,●●●,120,この番に、手札から、名前に「ロケット団」とつくサポートを出して使っていたなら、100ダメージ追加。
25,カイロス,SV5a,003/066,ポケモン/たね,n/a,n/a,n/a,110,草,炎,n/a,2,スロークランチ,草●,n/a,このポケモンについているエネルギーを、すべてトラッシュする。次の相手の番の終わりに、このワザを受けたポケモンは【きぜつ】する。
25,カイロス,SV5a,003/066,ポケモン/たね,n/a,n/a,n/a,110,草,炎,n/a,2,かいりきホーン,草●●,100,n/a
26,リーフィア,MC,037/742,ポケモン/1進化,n/a,n/a,イーブイ,120,草,炎,n/a,1,わかばのめぐみ,●,n/a,自分の手札から「基本【草】エネルギー」を1枚選び、ベンチポケモンにつける。その後、つけたポケモンのHPをすべて回復する。
26,リーフィア,MC,037/742,ポケモン/1進化,n/a,n/a,イーブイ,120,草,炎,n/a,1,ソーラービーム,草●,70,n/a
27,テツノイサハ,SV5a,007/066,ポケモン/たね,n/a,未来,n/a,120,草,炎,n/a,1,リカバーネット,草,n/a,自分のトラッシュからポケモンを2枚まで選び、相手に見せて、手札に加える。
27,テツノイサハ,SV5a,007/066,ポケモン/たね,n/a,未来,n/a,120,草,炎,n/a,1,アベンジエッジ,草●●,100,前の相手の番に、ワザのダメージで、自分のポケモンが【きぜつ】していたなら、60ダメージ追加。
28,チャデス,SV8a,017/187,ポケモン/たね,n/a,n/a,n/a,30,草,炎,n/a,1,[特性]くらがくれ,n/a,n/a,このポケモンは、ベンチにいるかぎり、相手のポケモンからワザのダメージや効果を受けない。
28,チャデス,SV8a,017/187,ポケモン/たね,n/a,n/a,n/a,30,草,炎,n/a,1,ひっかける,草,10,n/a
29,ヤバソチャex,MC,079/742,ポケモン/1進化,ex,n/a,チャデス,240,草,炎,n/a,1,せんじがえし,●,n/a,自分のトラッシュにある「基本【草】エネルギー」をすべて相手に見せ、その枚数×2個ぶんのダメカンを、相手のポケモン1匹にのせる。その後、見せたエネルギーを山札にもどして切る。
29,ヤバソチャex,MC,079/742,ポケモン/1進化,ex,n/a,チャデス,240,草,炎,n/a,1,まっちゃスプラッシュ,草●,120,自分のポケモン全員のHPを、それぞれ「30」回復する。
30,マグカルゴex,MC,096/742,ポケモン/1進化,ex,テラスタル(ほのお),マグマッグ,270,炎,水,n/a,3,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
30,マグカルゴex,MC,096/742,ポケモン/1進化,ex,テラスタル(ほのお),マグマッグ,270,炎,水,n/a,3,あついマグマ,炎●,70,相手のバトルポケモンを【やけど】にする。
30,マグカルゴex,MC,096/742,ポケモン/1進化,ex,テラスタル(ほのお),マグマッグ,270,炎,水,n/a,3,グラウンドバーン,炎炎●,140,おたがいの山札を上から1枚ずつトラッシュし、その中にあるエネルギーの枚数×140ダメージ追加。
31,イーユイ,SV5a,018/066,ポケモン/たね,n/a,n/a,n/a,110,炎,水,n/a,1,ひきつける,●,n/a,自分の山札を2枚引く。
31,イーユイ,SV5a,018/066,ポケモン/たね,n/a,n/a,n/a,110,炎,水,n/a,1,グラウンドメルト,炎●,60,場にスタジアムが出ているなら、60ダメージ追加。その後、そのスタジアムをトラッシュする。
32,グレイシア,SV8a,040/187,ポケモン/1進化,n/a,n/a,イーブイ,120,水,鋼,n/a,1,しみいるれいき,水,30,次の相手の番の終わりに、このワザを受けたポケモンにダメカンを9個のせる。
32,グレイシア,SV8a,040/187,ポケモン/1進化,n/a,n/a,イーブイ,120,水,鋼,n/a,1,つららミサイル,水●,70,n/a
33,ケロマツ,SV5a,023/066,ポケモン/たね,n/a,n/a,n/a,60,水,雷,n/a,1,むれる,水,n/a,自分の山札から「ケロマツ」を2枚まで選び、ベンチに出す。そして山札を切る。
33,ケロマツ,SV5a,023/066,ポケモン/たね,n/a,n/a,n/a,60,水,雷,n/a,1,はねまわる,水,10,n/a
34,ゲコガシラ,SV5a,024/066,ポケモン/1進化,n/a,n/a,ケロマツ,90,水,雷,n/a,1,しびれみず,水,20,コインを1回投げオモテなら、相手のバトルポケモンを【マヒ】にする。
35,ウネルミナモ,MC,221/742,ポケモン/たね,n/a,古代,n/a,130,水,雷,n/a,1,オーロラゲイン,水,20,このポケモンのHPを「20」回復する。
35,ウネルミナモ,MC,221/742,ポケモン/たね,n/a,古代,n/a,130,水,雷,n/a,1,うねりさく,水水●,20×,このポケモンにダメカンを9個までのせ、のせた数×20ダメージ。
36,モルペコ,MC,270/742,ポケモン/たね,n/a,n/a,n/a,70,雷,闘,n/a,1,[特性]おやつさがし,n/a,n/a,自分の番に1回使える。自分の山札を上から1枚見て、もとにもどす。のぞむなら、そのカードをトラッシュする。
36,モルペコ,MC,270/742,ポケモン/たね,n/a,n/a,n/a,70,雷,闘,n/a,1,ひろってつける,雷,n/a,自分のトラッシュから基本エネルギーを2枚まで選び、自分のポケモンに好きなようにつける。
37,テツノイバラex,MC,282/742,ポケモン/たね,ex,未来,n/a,230,雷,闘,n/a,4,[特性]イニシャライズ,n/a,n/a,このポケモンがバトル場にいるかぎり、おたがいの場の「ルールを持つポケモン」（「未来」のポケモンをのぞく）の特性は、すべてなくなる。
37,テツノイバラex,MC,282/742,ポケモン/たね,ex,未来,n/a,230,雷,闘,n/a,4,ボルトサイクロン,雷●●,140,このポケモンについているエネルギーを1個選び、ベンチポケモンにつけ替える。
38,キリンリキ,MC,301/742,ポケモン/たね,n/a,n/a,n/a,100,超,悪,闘,1,どっちもヘッド,●,30,自分のベンチポケモン1匹にも、10ダメージ。［ベンチは弱点・抵抗力を計算しない。］
39,ラブトロス,MC,346/742,ポケモン/たね,n/a,n/a,n/a,120,超,鋼,n/a,1,ハートサイン,●,30,n/a
39,ラブトロス,MC,346/742,ポケモン/たね,n/a,n/a,n/a,120,超,鋼,n/a,1,ラブレゾナンス,超●●,80,自分の場に、相手の場のポケモンと同じタイプのポケモンがいるなら、120ダメージ追加。
40,ゲッコウガex,SV5a,045/066,ポケモン/2進化,ex,テラスタル(かくとう),ゲコガシラ,310,闘,超,n/a,1,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
40,ゲッコウガex,SV5a,045/066,ポケモン/2進化,ex,テラスタル(かくとう),ゲコガシラ,310,闘,超,n/a,1,しのびのやいば,水,170,のぞむなら、自分の山札から好きなカードを1枚選び、手札に加える。そして山札を切る。
40,ゲッコウガex,SV5a,045/066,ポケモン/2進化,ex,テラスタル(かくとう),ゲコガシラ,310,闘,超,n/a,1,ぶんしんれんだ,水●●,n/a,このポケモンについているエネルギーを2個トラッシュし、相手のポケモン2匹に、それぞれ120ダメージ。［ベンチは弱点・抵抗力を計算しない。］
41,ディンルー,SV5a,047/066,ポケモン/たね,n/a,n/a,n/a,140,闘,草,n/a,3,グラウンドクラック,闘,30,場にスタジアムが出ているなら、相手のベンチポケモン全員にも、それぞれ30ダメージを与え、そのスタジアムをトラッシュする。［ベンチは弱点・抵抗力を計算しない。］
41,ディンルー,SV5a,047/066,ポケモン/たね,n/a,n/a,n/a,140,闘,草,n/a,3,ぶちかます,闘闘●,110,n/a
42,カジッチュ,SV5a,048/066,ポケモン/たね,n/a,n/a,n/a,40,竜,n/a,n/a,1,ともだちをさがす,●,n/a,自分の山札からポケモンを1枚選び、相手に見せて、手札に加える。そして山札を切る。
42,カジッチュ,SV5a,048/066,ポケモン/たね,n/a,n/a,n/a,40,竜,n/a,n/a,1,ころがりタックル,草炎,30,n/a
43,イーブイ,SV5a,050/066,ポケモン/たね,n/a,n/a,n/a,50,無,闘,n/a,1,かくせい,●,n/a,このポケモンから進化するカードを、自分の山札から1枚選び、このポケモンにのせて進化させる。そして山札を切る。
43,イーブイ,SV5a,050/066,ポケモン/たね,n/a,n/a,n/a,50,無,闘,n/a,1,でんこうせっか,●●●,20,コインを1回投げオモテなら、20ダメージ追加。
44,ガチグマ アカツキex,MC,625/742,ポケモン/たね,ex,n/a,n/a,260,無,闘,n/a,3,[特性]ろうれんのわざ,n/a,n/a,相手がすでにとったサイドの枚数ぶん、このポケモンが「ブラッドムーン」を使うための【無】エネルギーは少なくなる。
44,ガチグマ アカツキex,MC,625/742,ポケモン/たね,ex,n/a,n/a,260,無,闘,n/a,3,ブラッドムーン,●●●●●,240,次の自分の番、このポケモンはワザが使えない。
45,シェイミ,MC,039/742,ポケモン/たね,n/a,n/a,n/a,70,草,炎,n/a,n/a,ピンポイントダイブ,草,n/a,相手のベンチの「ポケモン【ex】・【V】」1匹に、60ダメージ。［ベンチは弱点・抵抗力を計算しない。］
45,シェイミ,MC,039/742,ポケモン/たね,n/a,n/a,n/a,70,草,炎,n/a,n/a,うしろげり,●●,50,n/a
46,ウガツホムラex,MC,151/742,ポケモン/たね,ex,古代,n/a,230,炎,水,n/a,2,ヒートブラスト,炎●,60,n/a
46,ウガツホムラex,MC,151/742,ポケモン/たね,ex,古代,n/a,230,炎,水,n/a,2,れっかばくしん,炎炎●,260,このワザを使ったなら、このポケモンは、バトル場をはなれるまで「れっかばくしん」が使えない。
47,ワニノコ,MC,164/742,ポケモン/たね,n/a,n/a,n/a,70,水,雷,n/a,1,かじりつく,水,10,次の相手の番、このワザを受けたポケモンは、にげられない。
48,アリゲイツ,MC,166/742,ポケモン/1進化,n/a,n/a,ワニノコ,90,水,雷,n/a,2,ぎゃくふんしゃ,水,30,このポケモンをベンチポケモンと入れ替える。
49,オーダイル,MC,168/742,ポケモン/2進化,n/a,n/a,アリゲイツ,180,水,雷,n/a,3,[特性]トレントハート,n/a,n/a,自分の番に1回使える。このポケモンにダメカンを5個のせる。その場合、この番、このポケモンが使うワザの、相手のバトルポケモンへのダメージは「+120」される。
49,オーダイル,MC,168/742,ポケモン/2進化,n/a,n/a,アリゲイツ,180,水,雷,n/a,3,おおなみ,水水,160,次の自分の番、このポケモンは「おおなみ」が使えない。
50,ウミディグダ,SV8a,042/187,ポケモン/たね,n/a,n/a,n/a,60,水,雷,n/a,1,ほりだしもの,水,n/a,自分の山札からグッズを1枚選び、相手に見せて、手札に加える。そして山札を切る。
50,ウミディグダ,SV8a,042/187,ポケモン/たね,n/a,n/a,n/a,60,水,雷,n/a,1,アクアボム,水水,40,このポケモンにも20ダメージ。
51,イルカマン,SV5K,023/071,ポケモン/1進化,n/a,n/a,ナミイルカ,150,水,雷,n/a,2,ヴァンガードパンチ,水,130,このポケモンにも、このポケモンにのっているダメカンの数×10ダメージ。
51,イルカマン,SV5K,023/071,ポケモン/1進化,n/a,n/a,ナミイルカ,150,水,雷,n/a,2,ダブルアタック,水●●,90×,コインを2回投げ、オモテの数×90ダメージ。
52,ウミトリオex,SV5K,025/071,ポケモン/1進化,ex,テラスタル(でんき),ウミディグダ,250,雷,闘,n/a,1,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
52,ウミトリオex,SV5K,025/071,ポケモン/1進化,ex,テラスタル(でんき),ウミディグダ,250,雷,闘,n/a,1,トリコロポンプ,水,n/a,自分の手札からエネルギーを3枚までトラッシュし、その枚数×60ダメージを、相手のポケモン1匹に与える。［ベンチは弱点・抵抗力を計算しない。］
52,ウミトリオex,SV5K,025/071,ポケモン/1進化,ex,テラスタル(でんき),ウミディグダ,250,雷,闘,n/a,1,しびれホールド,水水,120,次の相手の番、このワザを受けたポケモンは、にげられない。
53,マリル,SV5K,026/071,ポケモン/たね,n/a,n/a,n/a,70,超,鋼,n/a,2,たまころがり,●,10×,ウラが出るまでコインを投げ、オモテの数×10ダメージ。
53,マリル,SV5K,026/071,ポケモン/たね,n/a,n/a,n/a,70,超,鋼,n/a,2,マジカルショット,超●●,40,n/a
54,ドーミラー,SV5K,028/071,ポケモン/たね,n/a,n/a,n/a,80,超,悪,闘,3,ミラーアタック,超,10,相手のバトルポケモンが【超】ポケモンなら、30ダメージ追加。
55,ドータクン,SV5K,029/071,ポケモン/1進化,n/a,n/a,ドーミラー,110,超,悪,闘,3,しんかジャマー,超,30,次の相手の番、相手は手札からポケモンを出して進化させられない。
55,ドータクン,SV5K,029/071,ポケモン/1進化,n/a,n/a,ドーミラー,110,超,悪,闘,3,ちょうねんりき,超●●,100,n/a
56,ハバタクカミ,MC,355/742,ポケモン/たね,n/a,古代,n/a,90,超,鋼,n/a,1,[特性]あんやのはばたき,n/a,n/a,このポケモンがバトル場にいるかぎり、相手のバトルポケモンの特性（「あんやのはばたき」をのぞく）は、すべてなくなる。
56,ハバタクカミ,MC,355/742,ポケモン/たね,n/a,古代,n/a,90,超,鋼,n/a,1,たたりとばす,●●●,90,ダメカン2個を、相手のベンチポケモンに好きなようにのせる。
57,ジーランス,SV8a,079/187,ポケモン/たね,n/a,n/a,n/a,100,闘,草,n/a,1,[特性]きおくにもぐる,n/a,n/a,このポケモンがいるかぎり、自分の進化しているポケモン全員は、進化前に持っていたワザを、すべて使える。［ワザを使うためのエネルギーは必要。］
57,ジーランス,SV8a,079/187,ポケモン/たね,n/a,n/a,n/a,100,闘,草,n/a,1,ひれカッター,闘●,30,n/a
58,イダイナキバ,SV8a,086/187,ポケモン/たね,n/a,古代,n/a,140,闘,超,n/a,3,じばんほうかい,●●,n/a,相手の山札を上から1枚トラッシュする。この番、手札から「古代」のサポートを出して使っていたなら、さらに3枚トラッシュする。
58,イダイナキバ,SV8a,086/187,ポケモン/たね,n/a,古代,n/a,140,闘,超,n/a,3,きょだいなキバ,闘闘●●,160,n/a
59,ゴース,MC,441/742,ポケモン/たね,n/a,n/a,n/a,60,悪,闘,n/a,1,ふしぎなビーム,悪,n/a,コインを1回投げオモテなら、相手のバトルポケモンについているエネルギーを1個選び、トラッシュする。
59,ゴース,MC,441/742,ポケモン/たね,n/a,n/a,n/a,60,悪,闘,n/a,1,ガスでつつむ,悪悪,30,n/a
60,ゴースト,MC,443/742,ポケモン/1進化,n/a,n/a,ゴース,90,悪,闘,n/a,1,どくのいき,悪悪,30,相手のバトルポケモンを【どく】にする。
61,トドロクツキ,SV8a,100/187,ポケモン/たね,n/a,古代,n/a,140,悪,草,n/a,2,あだうちやばね,悪悪,70,自分のトラッシュにある「古代」のカードの枚数×10ダメージ追加。
61,トドロクツキ,SV8a,100/187,ポケモン/たね,n/a,古代,n/a,140,悪,草,n/a,2,スピードウイング,悪●●●,120,n/a
62,コライドン,MC,550/742,ポケモン/たね,n/a,古代,n/a,140,竜,n/a,n/a,2,げんせいらんだ,闘●,30×,自分の場の「古代」のポケモンの数×30ダメージ。
62,コライドン,MC,550/742,ポケモン/たね,n/a,古代,n/a,140,竜,n/a,n/a,2,ひきさく,炎闘●,130,このワザのダメージは、相手のバトルポケモンにかかっている効果を計算しない。
63,タケルライコex,MC,554/742,ポケモン/たね,ex,古代,n/a,240,竜,n/a,n/a,3,はじけるほうこう,●,n/a,自分の手札をすべてトラッシュし、山札を6枚引く。
63,タケルライコex,MC,554/742,ポケモン/たね,ex,古代,n/a,240,竜,n/a,n/a,3,きょくらいごう,雷闘,70×,自分の場のポケモンについている基本エネルギーを好きなだけトラッシュし、その枚数×70ダメージ。
64,ホーホー,SV5K,054/071,ポケモン/たね,n/a,n/a,n/a,70,無,雷,闘,1,サイレントウイング,●●,20,相手の手札を見る。
65,ノコッチ,SV8a,129/187,ポケモン/たね,n/a,n/a,n/a,60,無,闘,n/a,n/a,かじる,●,10,n/a
65,ノコッチ,SV8a,129/187,ポケモン/たね,n/a,n/a,n/a,60,無,闘,n/a,n/a,あなをほる,●●,30,コインを1回投げオモテなら、次の相手の番、このポケモンはワザのダメージや効果を受けない。
66,ノココッチ,SV8a,130/187,ポケモン/1進化,n/a,n/a,ノコッチ,140,無,闘,n/a,3,[特性]にげあしドロー,n/a,n/a,自分の番に1回使える。自分の山札を3枚引く。その後、このポケモンと、ついているすべてのカードを、山札にもどして切る。
66,ノココッチ,SV8a,130/187,ポケモン/1進化,n/a,n/a,ノコッチ,140,無,闘,n/a,3,ランドクラッシュ,●●●,90,n/a
67,クヌギダマ,SV5M,002/071,ポケモン/たね,n/a,n/a,n/a,70,草,炎,n/a,2,ぶつかる,●●●,50,n/a
68,タネボー,SV5M,003/071,ポケモン/たね,n/a,n/a,n/a,60,草,炎,n/a,1,こうちょく,草,n/a,次の相手の番、このポケモンが受けるワザのダメージは「-30」される。
68,タネボー,SV5M,003/071,ポケモン/たね,n/a,n/a,n/a,60,草,炎,n/a,1,ぶらさがる,●●,20,n/a
69,コノハナ,SV5M,004/071,ポケモン/1進化,n/a,n/a,タネボー,90,草,炎,n/a,1,どつく,草,20,n/a
69,コノハナ,SV5M,004/071,ポケモン/1進化,n/a,n/a,タネボー,90,草,炎,n/a,1,れんぞくビンタ,●●,30×,コインを3回投げ、オモテの数×30ダメージ。
70,ダーテング,SV5M,005/071,ポケモン/2進化,n/a,n/a,コノハナ,150,草,炎,n/a,2,おいだしトルネード,草,n/a,相手のベンチポケモンを3匹選ぶ。その後、選んでいない相手のベンチポケモン全員と、ついているすべてのカードを、相手の山札にもどして切る。
70,ダーテング,SV5M,005/071,ポケモン/2進化,n/a,n/a,コノハナ,150,草,炎,n/a,2,エネループ,●●,140,このポケモンについているエネルギーを1個選び、手札にもどす。
71,シキジカ,SV5M,008/071,ポケモン/たね,n/a,n/a,n/a,70,草,炎,n/a,1,はねまわる,●,10,n/a
71,シキジカ,SV5M,008/071,ポケモン/たね,n/a,n/a,n/a,70,草,炎,n/a,1,らくようタックル,草●●,40,このポケモンについている【草】エネルギーを1個選び、トラッシュする。
72,メブキジカ,SV5M,009/071,ポケモン/1進化,n/a,n/a,シキジカ,130,草,炎,n/a,2,[特性]しきのうつろい,n/a,n/a,自分の番に1回使える。自分の山札からスタジアムを1枚選び、相手に見せて、手札に加える。そして山札を切る。
72,メブキジカ,SV5M,009/071,ポケモン/1進化,n/a,n/a,シキジカ,130,草,炎,n/a,2,かいりきホーン,草●●,110,n/a
73,シガロコ,SV8a,013/187,ポケモン/たね,n/a,n/a,n/a,50,草,炎,n/a,1,ちょっとつっこむ,●,30,このポケモンにも10ダメージ。
74,ベラカス,SV8a,014/187,ポケモン/1進化,n/a,n/a,シガロコ,70,草,炎,n/a,1,[特性]スフィアシールド,n/a,n/a,このポケモンがいるかぎり、自分のベンチポケモン全員は、相手のポケモンからワザのダメージや効果を受けない。
74,ベラカス,SV8a,014/187,ポケモン/1進化,n/a,n/a,シガロコ,70,草,炎,n/a,1,サイコキネシス,草,10,相手のバトルポケモンについているエネルギーの数×30ダメージ追加。
75,テツノイサハex,MC,077/742,ポケモン/たね,ex,未来,n/a,220,草,炎,n/a,1,[特性]ラピッドバーニア,n/a,n/a,自分の番に、このカードを手札からベンチに出したとき、1回使える。このポケモンをバトルポケモンと入れ替える。入れ替えた場合、自分の場のポケモンについているエネルギーを好きなだけ選び、このポケモンにつけ替える。
75,テツノイサハex,MC,077/742,ポケモン/たね,ex,未来,n/a,220,草,炎,n/a,1,プリズムエッジ,草草●,180,次の自分の番、このポケモンはワザが使えない。
76,マグマッグ,SV5M,017/071,ポケモン/たね,n/a,n/a,n/a,80,炎,水,n/a,2,あぶりやき,炎,10,相手のバトルポケモンが【やけど】なら、40ダメージ追加。
77,ニャビー,MC,130/742,ポケモン/たね,n/a,n/a,n/a,70,炎,水,n/a,2,ねこだまし,炎,10,コインを1回投げオモテなら、相手のバトルポケモンを【マヒ】にする。
78,ニャヒート,MC,131/742,ポケモン/1進化,n/a,n/a,ニャビー,100,炎,水,n/a,2,かみつく,炎,30,n/a
78,ニャヒート,MC,131/742,ポケモン/1進化,n/a,n/a,ニャビー,100,炎,水,n/a,2,フレアストライク,炎●●,80,次の自分の番、このポケモンは「フレアストライク」が使えない。
79,ガオガエンex,MC,132/742,ポケモン/2進化,ex,n/a,ニャヒート,320,炎,水,n/a,2,[特性]ハッスルプレー,n/a,n/a,相手のベンチポケモンの数ぶん、このポケモンがワザを使うための【無】エネルギーは少なくなる。
79,ガオガエンex,MC,132/742,ポケモン/2進化,ex,n/a,ニャヒート,320,炎,水,n/a,2,ブレイズボム,炎●●●●,240,相手のバトルポケモンを【やけど】にする。
80,テツノカシラex,MC,361/742,ポケモン/たね,ex,未来,n/a,220,超,悪,闘,2,[特性]コバルトコマンド,n/a,n/a,このポケモンがいるかぎり、自分の「未来」のポケモン（「テツノカシラ【ex】」をのぞく）が使うワザの、相手のバトルポケモンへのダメージは「+20」される。
80,テツノカシラex,MC,361/742,ポケモン/たね,ex,未来,n/a,220,超,悪,闘,2,ツインショーテル,超●●,n/a,相手のポケモン2匹に、それぞれ50ダメージ。このワザのダメージは、弱点・抵抗力と、ダメージを受けるポケモンにかかっている効果を計算しない。
81,モグリュー,SV8a,083/187,ポケモン/たね,n/a,n/a,n/a,70,闘,草,n/a,1,[特性]ほりまくり,n/a,n/a,自分の番に、このカードを手札からベンチに出したとき、1回使える。自分の山札から「基本【闘】エネルギー」を3枚まで選び、トラッシュする。そして山札を切る。
