card_id,name_jp,name_en,category,stage,evolves_from,hp,type,weakness,resistance,retreat,ex,mega_ex,ace_spec,tera,basic,ability_name,ability_text,max_attack_damage,best_damage_per_energy,deck_usage_count,total_copies,avg_copies_when_used,is_staple,expansion,collection_no,in_engine,attack1_name,attack1_cost,attack1_damage,attack1_effect,attack2_name,attack2_cost,attack2_damage,attack2_effect,attack3_name,attack3_cost,attack3_damage,attack3_effect
42,カジッチュ,Applin,ポケモン/たね,ポケモン/たね,,40,竜,,,1,0,0,0,0,1,,,30,15.0,0,0,0,0,SV5a,048/066,1,ともだちをさがす,●,,自分の山札からポケモンを1枚選び、相手に見せて、手札に加える。そして山札を切る。,ころがりタックル,草炎,30,,,,,
43,イーブイ,Eevee,ポケモン/たね,ポケモン/たね,,50,無,闘,,1,0,0,0,0,1,,,20,6.7,0,0,0,0,SV5a,050/066,1,かくせい,●,,このポケモンから進化するカードを、自分の山札から1枚選び、このポケモンにのせて進化させる。そして山札を切る。,でんこうせっか,●●●,20,コインを1回投げオモテなら、20ダメージ追加。,,,,
44,ガチグマ アカツキex,Bloodmoon Ursaluna ex,ポケモン/たね,ポケモン/たね,,260,無,闘,,3,1,0,0,0,1,ろうれんのわざ,相手がすでにとったサイドの枚数ぶん、このポケモンが「ブラッドムーン」を使うための【無】エネルギーは少なくなる。,240,48.0,0,0,0,0,MC,625/742,1,ブラッドムーン,●●●●●,240,次の自分の番、このポケモンはワザが使えない。,,,,,,,,
45,シェイミ,Shaymin,ポケモン/たね,ポケモン/たね,,70,草,炎,,,0,0,0,0,1,,,50,25.0,0,0,0,0,MC,039/742,1,ピンポイントダイブ,草,,相手のベンチの「ポケモン【ex】・【V】」1匹に、60ダメージ。［ベンチは弱点・抵抗力を計算しない。］,うしろげり,●●,50,,,,,
46,ウガツホムラex,Gouging Fire ex,古代,ポケモン/たね,,230,炎,水,,2,1,0,0,0,1,,,260,86.7,0,0,0,0,MC,151/742,1,ヒートブラスト,炎●,60,,れっかばくしん,炎炎●,260,このワザを使ったなら、このポケモンは、バトル場をはなれるまで「れっかばくしん」が使えない。,,,,
47,ワニノコ,Totodile,ポケモン/たね,ポケモン/たね,,70,水,雷,,1,0,0,0,0,1,,,10,10.0,0,0,0,0,MC,164/742,1,かじりつく,水,10,次の相手の番、このワザを受けたポケモンは、にげられない。,,,,,,,,
48,アリゲイツ,Croconaw,ポケモン/1進化,ポケモン/1進化,ワニノコ,90,水,雷,,2,0,0,0,0,0,,,30,30.0,0,0,0,0,MC,166/742,1,ぎゃくふんしゃ,水,30,このポケモンをベンチポケモンと入れ替える。,,,,,,,,
49,オーダイル,Feraligatr,ポケモン/2進化,ポケモン/2進化,アリゲイツ,180,水,雷,,3,0,0,0,0,0,トレントハート,自分の番に1回使える。このポケモンにダメカンを5個のせる。その場合、この番、このポケモンが使うワザの、相手のバトルポケモンへのダメージは「+120」される。,160,80.0,0,0,0,0,MC,168/742,1,おおなみ,水水,160,次の自分の番、このポケモンは「おおなみ」が使えない。,,,,,,,,
50,ウミディグダ,Wiglett,ポケモン/たね,ポケモン/たね,,60,水,雷,,1,0,0,0,0,1,,,40,20.0,0,0,0,0,SV8a,042/187,1,ほりだしもの,水,,自分の山札からグッズを1枚選び、相手に見せて、手札に加える。そして山札を切る。,アクアボム,水水,40,このポケモンにも20ダメージ。,,,,
51,イルカマン,Palafin,ポケモン/1進化,ポケモン/1進化,ナミイルカ,150,水,雷,,2,0,0,0,0,0,,,130,130.0,0,0,0,0,SV5K,023/071,1,ヴァンガードパンチ,水,130,このポケモンにも、このポケモンにのっているダメカンの数×10ダメージ。,ダブルアタック,水●●,90×,コインを2回投げ、オモテの数×90ダメージ。,,,,
52,ウミトリオex,Wugtrio ex,テラスタル(でんき),ポケモン/1進化,ウミディグダ,250,雷,闘,,1,1,0,0,1,0,,,120,60.0,0,0,0,0,SV5K,025/071,1,テラスタル,,,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。,トリコロポンプ,水,,自分の手札からエネルギーを3枚までトラッシュし、その枚数×60ダメージを、相手のポケモン1匹に与える。［ベンチは弱点・抵抗力を計算しない。］,しびれホールド,水水,120,次の相手の番、このワザを受けたポケモンは、にげられない。
53,マリル,Marill,ポケモン/たね,ポケモン/たね,,70,超,鋼,,2,0,0,0,0,1,,,40,13.3,0,0,0,0,SV5K,026/071,1,たまころがり,●,10×,ウラが出るまでコインを投げ、オモテの数×10ダメージ。,マジカルショット,超●●,40,,,,,
54,ドーミラー,Bronzor,ポケモン/たね,ポケモン/たね,,80,超,悪,闘,3,0,0,0,0,1,,,10,10.0,0,0,0,0,SV5K,028/071,1,ミラーアタック,超,10,相手のバトルポケモンが【超】ポケモンなら、30ダメージ追加。,,,,,,,,
55,ドータクン,Bronzong,ポケモン/1進化,ポケモン/1進化,ドーミラー,110,超,悪,闘,3,0,0,0,0,0,,,100,33.3,0,0,0,0,SV5K,029/071,1,しんかジャマー,超,30,次の相手の番、相手は手札からポケモンを出して進化させられない。,ちょうねんりき,超●●,100,,,,,
56,ハバタクカミ,Flutter Mane,古代,ポケモン/たね,,90,超,鋼,,1,0,0,0,0,1,あんやのはばたき,このポケモンがバトル場にいるかぎり、相手のバトルポケモンの特性（「あんやのはばたき」をのぞく）は、すべてなくなる。,90,30.0,0,0,0,0,MC,355/742,1,たたりとばす,●●●,90,ダメカン2個を、相手のベンチポケモンに好きなようにのせる。,,,,,,,,
57,ジーランス,Relicanth,ポケモン/たね,ポケモン/たね,,100,闘,草,,1,0,0,0,0,1,きおくにもぐる,このポケモンがいるかぎり、自分の進化しているポケモン全員は、進化前に持っていたワザを、すべて使える。［ワザを使うためのエネルギーは必要。］,30,15.0,0,0,0,0,SV8a,079/187,1,ひれカッター,闘●,30,,,,,,,,,
58,イダイナキバ,Great Tusk,古代,ポケモン/たね,,140,闘,超,,3,0,0,0,0,1,,,160,40.0,0,0,0,0,SV8a,086/187,1,じばんほうかい,●●,,相手の山札を上から1枚トラッシュする。この番、手札から「古代」のサポートを出して使っていたなら、さらに3枚トラッシュする。,きょだいなキバ,闘闘●●,160,,,,,
59,ゴース,Gastly,ポケモン/たね,ポケモン/たね,,60,悪,闘,,1,0,0,0,0,1,,,30,15.0,0,0,0,0,MC,441/742,1,ふしぎなビーム,悪,,コインを1回投げオモテなら、相手のバトルポケモンについているエネルギーを1個選び、トラッシュする。,ガスでつつむ,悪悪,30,,,,,
60,ゴースト,Haunter,ポケモン/1進化,ポケモン/1進化,ゴース,90,悪,闘,,1,0,0,0,0,0,,,30,15.0,0,0,0,0,MC,443/742,1,どくのいき,悪悪,30,相手のバトルポケモンを【どく】にする。,,,,,,,,
61,トドロクツキ,Roaring Moon,古代,ポケモン/たね,,140,悪,草,,2,0,0,0,0,1,,,120,35.0,0,0,0,0,SV8a,100/187,1,あだうちやばね,悪悪,70,自分のトラッシュにある「古代」のカードの枚数×10ダメージ追加。,スピードウイング,悪●●●,120,,,,,
62,コライドン,Koraidon,古代,ポケモン/たね,,140,竜,,,2,0,0,0,0,1,,,130,43.3,0,0,0,0,MC,550/742,1,げんせいらんだ,闘●,30×,自分の場の「古代」のポケモンの数×30ダメージ。,ひきさく,炎闘●,130,このワザのダメージは、相手のバトルポケモンにかかっている効果を計算しない。,,,,
63,タケルライコex,Raging Bolt ex,古代,ポケモン/たね,,240,竜,,,3,1,0,0,0,1,,,70,35.0,1,4,4.0,0,MC,554/742,1,はじけるほうこう,●,,自分の手札をすべてトラッシュし、山札を6枚引く。,きょくらいごう,雷闘,70×,自分の場のポケモンについている基本エネルギーを好きなだけトラッシュし、その枚数×70ダメージ。,,,,
64,ホーホー,Hoothoot,ポケモン/たね,ポケモン/たね,,70,無,雷,闘,1,0,0,0,0,1,,,20,10.0,0,0,0,0,SV5K,054/071,1,サイレントウイング,●●,20,相手の手札を見る。,,,,,,,,
65,ノコッチ,Dunsparce,ポケモン/たね,ポケモン/たね,,60,無,闘,,,0,0,0,0,1,,,30,15.0,0,0,0,0,SV8a,129/187,1,かじる,●,10,,あなをほる,●●,30,コインを1回投げオモテなら、次の相手の番、このポケモンはワザのダメージや効果を受けない。,,,,
66,ノココッチ,Dudunsparce,ポケモン/1進化,ポケモン/1進化,ノコッチ,140,無,闘,,3,0,0,0,0,0,にげあしドロー,自分の番に1回使える。自分の山札を3枚引く。その後、このポケモンと、ついているすべてのカードを、山札にもどして切る。,90,30.0,0,0,0,0,SV8a,130/187,1,ランドクラッシュ,●●●,90,,,,,,,,,
67,クヌギダマ,Pineco,ポケモン/たね,ポケモン/たね,,70,草,炎,,2,0,0,0,0,1,,,50,16.7,0,0,0,0,SV5M,002/071,1,ぶつかる,●●●,50,,,,,,,,,
68,タネボー,Seedot,ポケモン/たね,ポケモン/たね,,60,草,炎,,1,0,0,0,0,1,,,20,10.0,0,0,0,0,SV5M,003/071,1,こうちょく,草,,次の相手の番、このポケモンが受けるワザのダメージは「-30」される。,ぶらさがる,●●,20,,,,,
69,コノハナ,Nuzleaf,ポケモン/1進化,ポケモン/1進化,タネボー,90,草,炎,,1,0,0,0,0,0,,,30,20.0,0,0,0,0,SV5M,004/071,1,どつく,草,20,,れんぞくビンタ,●●,30×,コインを3回投げ、オモテの数×30ダメージ。,,,,
70,ダーテング,Shiftry,ポケモン/2進化,ポケモン/2進化,コノハナ,150,草,炎,,2,0,0,0,0,0,,,140,70.0,0,0,0,0,SV5M,005/071,1,おいだしトルネード,草,,相手のベンチポケモンを3匹選ぶ。その後、選んでいない相手のベンチポケモン全員と、ついているすべてのカードを、相手の山札にもどして切る。,エネループ,●●,140,このポケモンについているエネルギーを1個選び、手札にもどす。,,,,
71,シキジカ,Deerling,ポケモン/たね,ポケモン/たね,,70,草,炎,,1,0,0,0,0,1,,,40,13.3,0,0,0,0,SV5M,008/071,1,はねまわる,●,10,,らくようタックル,草●●,40,このポケモンについている【草】エネルギーを1個選び、トラッシュする。,,,,
72,メブキジカ,Sawsbuck,ポケモン/1進化,ポケモン/1進化,シキジカ,130,草,炎,,2,0,0,0,0,0,しきのうつろい,自分の番に1回使える。自分の山札からスタジアムを1枚選び、相手に見せて、手札に加える。そして山札を切る。,110,36.7,0,0,0,0,SV5M,009/071,1,かいりきホーン,草●●,110,,,,,,,,,
73,シガロコ,Rellor,ポケモン/たね,ポケモン/たね,,50,草,炎,,1,0,0,0,0,1,,,30,30.0,0,0,0,0,SV8a,013/187,1,ちょっとつっこむ,●,30,このポケモンにも10ダメージ。,,,,,,,,
74,ベラカス,Rabsca,ポケモン/1進化,ポケモン/1進化,シガロコ,70,草,炎,,1,0,0,0,0,0,スフィアシールド,このポケモンがいるかぎり、自分のベンチポケモン全員は、相手のポケモンからワザのダメージや効果を受けない。,10,10.0,0,0,0,0,SV8a,014/187,1,サイコキネシス,草,10,相手のバトルポケモンについているエネルギーの数×30ダメージ追加。,,,,,,,,
75,テツノイサハex,Iron Leaves ex,未来,ポケモン/たね,,220,草,炎,,1,1,0,0,0,1,ラピッドバーニア,自分の番に、このカードを手札からベンチに出したとき、1回使える。このポケモンをバトルポケモンと入れ替える。入れ替えた場合、自分の場のポケモンについているエネルギーを好きなだけ選び、このポケモンにつけ替える。,180,60.0,0,0,0,0,MC,077/742,1,プリズムエッジ,草草●,180,次の自分の番、このポケモンはワザが使えない。,,,,,,,,
76,マグマッグ,Slugma,ポケモン/たね,ポケモン/たね,,80,炎,水,,2,0,0,0,0,1,,,10,10.0,0,0,0,0,SV5M,017/071,1,あぶりやき,炎,10,相手のバトルポケモンが【やけど】なら、40ダメージ追加。,,,,,,,,
77,ニャビー,Litten,ポケモン/たね,ポケモン/たね,,70,炎,水,,2,0,0,0,0,1,,,10,10.0,2,6,3.0,0,MC,130/742,1,ねこだまし,炎,10,コインを1回投げオモテなら、相手のバトルポケモンを【マヒ】にする。,,,,,,,,
78,ニャヒート,Torracat,ポケモン/1進化,ポケモン/1進化,ニャビー,100,炎,水,,2,0,0,0,0,0,,,80,30.0,2,4,2.0,0,MC,131/742,1,かみつく,炎,30,,フレアストライク,炎●●,80,次の自分の番、このポケモンは「フレアストライク」が使えない。,,,,
79,ガオガエンex,Incineroar ex,ポケモン/2進化,ポケモン/2進化,ニャヒート,320,炎,水,,2,1,0,0,0,0,ハッスルプレー,相手のベンチポケモンの数ぶん、このポケモンがワザを使うための【無】エネルギーは少なくなる。,240,48.0,0,0,0,0,MC,132/742,1,ブレイズボム,炎●●●●,240,相手のバトルポケモンを【やけど】にする。,,,,,,,,
80,テツノカシラex,Iron Crown ex,未来,ポケモン/たね,,220,超,悪,闘,2,1,0,0,0,1,コバルトコマンド,このポケモンがいるかぎり、自分の「未来」のポケモン（「テツノカシラ【ex】」をのぞく）が使うワザの、相手のバトルポケモンへのダメージは「+20」される。,0,0.0,0,0,0,0,MC,361/742,1,ツインショーテル,超●●,,相手のポケモン2匹に、それぞれ50ダメージ。このワザのダメージは、弱点・抵抗力と、ダメージを受けるポケモンにかかっている効果を計算しない。,,,,,,,,
81,モグリュー,Drilbur,ポケモン/たね,ポケモン/たね,,70,闘,草,,1,0,0,0,0,1,ほりまくり,自分の番に、このカードを手札からベンチに出したとき、1回使える。自分の山札から「基本【闘】エネルギー」を3枚まで選び、トラッシュする。そして山札を切る。,20,10.0,0,0,0,0,SV8a,083/187,1,すなしぶき,闘●,20,,,,,,,,,
82,ドリュウズ,Excadrill,ポケモン/1進化,ポケモン/1進化,モグリュー,130,闘,草,,2,0,0,0,0,0,,,180,60.0,0,0,0,0,SV5M,040/071,1,マッドショット,●,20,,ワイルドタックル,闘闘●,180,このポケモンにも50ダメージ。,,,,
83,リキキリンex,Farigiraf ex,テラスタル(あく),ポケモン/1進化,キリンリキ,260,悪,草,,2,1,0,0,1,0,テイルアーマー,このポケモンは、相手の【たね】ポケモンの「ポケモン【ex】」からワザのダメージを受けない。,160,53.3,0,0,0,0,MC,486/742,1,テラスタル,,,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。,ダーティビーム,超●●,160,相手のベンチポケモン1匹にも、30ダメージ。［ベンチは弱点・抵抗力を計算しない。］,,,,
84,ハッサムex,Scizor ex,ポケモン/1進化,ポケモン/1進化,ストライク,270,鋼,炎,草,2,1,0,0,0,0,,,120,60.0,0,0,0,0,MC,492/742,1,はがねのつばさ,●●,70,次の相手の番、このポケモンが受けるワザのダメージは「-50」される。,クロスブレイカー,鋼鋼,120×,このポケモンについている【鋼】エネルギーを2枚までトラッシュし、その枚数×120ダメージ。,,,,
85,ダンバル,Beldum,ポケモン/たね,ポケモン/たね,,70,鋼,炎,草,1,0,0,0,0,1,,,50,16.7,0,0,0,0,MC,496/742,1,ツメをたてる,鋼,10,,アイアンタックル,鋼●●,50,このポケモンにも10ダメージ。,,,,
86,メタング,Metang,ポケモン/1進化,ポケモン/1進化,ダンバル,100,鋼,炎,草,2,0,0,0,0,0,メタルメーカー,自分の番に1回使える。自分の山札を上から4枚見て、その中から「基本【鋼】エネルギー」を好きなだけ選び、自分のポケモンに好きなようにつける。残りのカードはすべてウラにして切り、山札の下にもどす。,60,20.0,0,0,0,0,MC,497/742,1,ビーム,鋼●●,60,,,,,,,,,
87,ミライドン,Miraidon,未来,ポケモン/たね,,110,竜,,,2,0,0,0,0,1,,,160,53.3,0,0,0,0,MC,552/742,1,アクセルピーク,●,40,自分の山札から基本エネルギーを2枚まで選び、自分の「未来」のポケモンに好きなようにつける。そして山札を切る。,スパーキングアタック,雷雷超,160,,,,,
88,バルビート,Volbeat,ポケモン/たね,ポケモン/たね,,70,草,炎,,1,0,0,0,0,1,,,20,10.0,0,0,0,0,SV6,004/101,1,ファストサイン,●,,このワザは、先攻プレイヤーの最初の番でも使える。自分の山札から【たね】ポケモンを2枚まで選び、ベンチに出す。そして山札を切る。,れんけいアタック,●●,20,自分のベンチに「イルミーゼ」がいるなら、60ダメージ追加。,,,,
